90,Label,Environment - EN,Norm - EN,Demographic features - EN,scope - EN,Age - EN,Gender - EN,Religion - EN,Ethnicity - EN,Family status - EN,Family role - EN,Educational roles - EN,Social status - EN,Age - FA,Gender - FA,Religion - FA,Ethnicity - FA,Family status - FA,Family role - FA,Educational roles - FA,Social status - FA,Demographic features - FA,Norm - FA,Environment - FA
18,Taboo,Airport,Wearing revealing and short clothing,,Specific,,,,,,,,,,,,,,,,,,پوشیدن لباس نامناسب و کوتاه,فرودگاه
19,Expected,Ancient festivals,Honoring ancient rituals on social media,,General,,,,,,,,,,,,,,,,,,گرامیداشت آیین های کهن در فضای مجازی,جشن های باستانی
20,Taboo,Ancient festivals,Insulting ancient festivals online,,General,,,,,,,,,,,,,,,,,,توهین به جشن های باستانی در فضای مجازی,جشن های باستانی
21,Normal,Ancient festivals,Introducing ancient traditions on social media,,General,,,,,,,,,,,,,,,,,,معرفی سنت های باستانی در فضای مجازی,جشن های باستانی
22,Expected,Anywhere,Behaving with good manners and politeness,,General,,,,,,,,,,,,,,,,,,خوش رفتاری و ادب,هر مکانی
23,Normal,Anywhere,Behaving with humility and modesty,,General,,,,,,,,,,,,,,,,,,تواضع و فروتنی,هر مکانی
24,Normal,Anywhere,Being Patient in difficulties,,General,,,,,,,,,,,,,,,,,,صبور بودن در سختی ها,هر مکانی
25,Expected,Anywhere,Being restricted for recreational activities by families limiting their access to parks and cinemas,female,Specific,,female,,,,,,,,زن,,,,,,,زن,محدود بودن فعالیت‌های تفریحی خانواده ها و محدودیت در دسترسی به پارکها و سینماها,هر مکانی
26,Taboo,Anywhere,Communicating with suspicious foreign entities,,General,,,,,,,,,,,,,,,,,,ارتباط با افراد مشکوک امنیتی در خارج از کشور,هر مکانی
27,Expected,Anywhere,Expressing affection and forgiveness on Nowruz,,Specific,,,,,,,,,,,,,,,,,,ابراز محبت و بخشش در روز نوروز,هر مکانی
28,Taboo,Anywhere,Insulting Iranian traditions and Nowruz customs,,Specific,,,,,,,,,,,,,,,,,,توهین به سنت‌های ایرانی و آداب نوروز,هر مکانی
29,Taboo,Anywhere,Making direct eye contact with the opposite sex,male,Specific,,male,,,,,,,,مرد,,,,,,,مرد,برقراری تماس چشمی مستقیم با جنس مخالف,هر مکانی
30,Normal,Anywhere,Making direct eye contact with the opposite sex,female,Specific,,female,,,,,,,,زن,,,,,,,زن,برقراری تماس چشمی مستقیم با جنس مخالف,هر مکانی
31,Expected,Anywhere,Setting aside daily work on Eid,,Specific,,,,,,,,,,,,,,,,,,کنار گذاشتن کارهای روزمره در روز عید,هر مکانی
32,Expected,Apartment,Adhering to rules and paying fees on time,,General,,,,,,,,,,,,,,,,,,رعایت مقررات و پرداخت به موقع هزینه ها,آپارتمان
33,Expected,Apartment,Avoiding noise and disturbance for neighbors,,General,,,,,,,,,,,,,,,,,,پرهیز از سروصدا و مزاحمت برای همسایگان,آپارتمان
34,Taboo,Apartment,Entering another's home without permission,,General,,,,,,,,,,,,,,,,,,بدون اجازه وارد خانه همسایه شدن,آپارتمان
35,Taboo,Apartment,Hanging out freely before marriage with the opposite gender,unmarried,Specific,,,,,unmarried,,,,,,,,ازدواج نکرده,,,,ازدواج نکرده,ملاقات آزادانه دختر و پسر قبل از ازدواج,آپارتمان
36,Normal,Apartment,Keeping pets,,General,,,,,,,,,,,,,,,,,,نگهداری از حیوانات خانگی,آپارتمان
37,Taboo,Apartment,Not respecting others' privacy,,General,,,,,,,,,,,,,,,,,,عدم رعایت حریم خصوصی دیگران,آپارتمان
38,Normal,Apartment,Protecting mutual citizenship rights,,General,,,,,,,,,,,,,,,,,,صیانت از حقوق متقابل شهروندی,آپارتمان
39,Expected,Apartment,Removing shoes at entrances,,General,,,,,,,,,,,,,,,,,,جمع کردن کفش‌ها در ورودی منازل,آپارتمان
40,Taboo,Apartment,Shaking hands and embracing the opposite gender,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,دست دادن و روبوسی با جنس مخالف,آپارتمان
41,Normal,Apartment,Shaking hands and embracing the opposite gender,Not Muslim,Specific,,,Not Muslim,,,,,,,,نامسلمان,,,,,,نامسلمان,دست دادن و در آغوش گرفتن جنس مخالف,آپارتمان
42,Expected,Archaeological site,Avoiding unauthorized collection/purchase of antiquities,,General,,,,,,,,,,,,,,,,,,پرهیز از جمع آوری و خرید آثار تاریخی غیرمجاز,محوطه باستانی
43,Taboo,Archaeological site,Stealing ancient artifacts and national treasures,,General,,,,,,,,,,,,,,,,,,سرقت آثار باستانی و گنجینه های ملی,محوطه باستانی
44,Expected,Art exhibition,Appreciating traditional arts like carpet weaving,,Specific,,,,,,,,,,,,,,,,,,توجه به هنرهای سنتی مانند قالیبافی,نمایشگاه هنری
45,Normal,Art exhibition,Challenging conventional norms by artists and writers,,General,,,,,,,,,,,,,,,,,,شکستن هنجارهای ظاهری توسط هنرمندان و ادیبان,نمایشگاه هنری
46,Expected,Art exhibition,Encouraging preservation of Iranian culture,,Specific,,,,,,,,,,,,,,,,,,تشویق به حفظ آداب و فرهنگ ایرانی,نمایشگاه هنری
47,Expected,Art exhibition,Maintaining calmness,,General,,,,,,,,,,,,,,,,,,حفظ آرامش در نمایشگاه هنری,نمایشگاه هنری
48,Taboo,Art exhibition,Not observing order,,General,,,,,,,,,,,,,,,,,,عدم رعایت نظم,نمایشگاه هنری
49,Expected,Art exhibition,Respecting intellectual property rights of artists,,General,,,,,,,,,,,,,,,,,,رعایت حقوق معنوی هنرمندان,نمایشگاه هنری
50,Expected,Art exhibition,Valuing artistic works in exhibitions,,General,,,,,,,,,,,,,,,,,,ارج نهادن به آثار هنری در نمایشگاه ها,نمایشگاه هنری
51,Normal,Association venue,Forming independent non-governmental organizations,,Specific,,,,,,,,,,,,,,,,,,تشکیل انجمن ها و سازمان های غیردولتی مستقل,محل انجمن
52,Normal,At the dining table,Eating vegetables with food,,General,,,,,,,,,,,,,,,,,,خوردن سبزی خوردن همراه با غذا,سر سفره ی غذا
53,Taboo,At the dining table,Eating with the left hand,Muslim,Specific,,,Muslim,,,,,,,,مسلمان,,,,,,مسلمان,خوردن غذا با دست چپ,سر سفره ی غذا
54,Normal,At the dining table,Eating with the left hand,Not Muslim,Specific,,,Not Muslim,,,,,,,,نامسلمان,,,,,,نامسلمان,غذا خوردن با دست چپ,سر سفره ی غذا
55,Expected,At the dining table,Waiting for the meal to start until everyone is present,,Specific,,,,,,,,,,,,,,,,,,انتظار کشیدن برای شروع غذا تا همه حاضر شوند,سر سفره ی غذا
56,Taboo,Bakery,Having priority over men in bread and fuel queues,female,Specific,,female,,,,,,,,زن,,,,,,,زن,الویت داشتن در صف نان و سوخت بر مردان,نانوایی
57,Expected,Bakery,having priority over women in bread and fuel queues,male,Specific,,male,,,,,,,,مرد,,,,,,,مرد,اولویت داشتن بر زنان در صف‌های نان و سوخت,نانوایی
58,Taboo,Bakery,Using vulgar and profane language,,General,,,,,,,,,,,,,,,,,,استفاده از کلمات زشت و رکیک,نانوایی
59,Expected,Bank,Avoiding noise in public places,,General,,,,,,,,,,,,,,,,,,خودداری از سر و صدا در محیط های عمومی,بانک
60,Normal,Bank,Being charged interest by banks on loans to borrowers,,Specific,,,,,,,,,,,,,,,,,,ربا و گرفتن بهره توسط بانک ها از وام گیرندگان,بانک
61,Expected,Bank,Dressing appropriately for office environment,,General,,,,,,,,,,,,,,,,,,لباس پوشیدن متناسب با فضای اداری,بانک
62,Expected,Bank,Maintaining order and discipline in shopping and civic queues,,General,,,,,,,,,,,,,,,,,,نظم و ترتیب در صف های خرید و خدمات شهری,بانک
63,Taboo,Bank,Not respecting queues,,General,,,,,,,,,,,,,,,,,,عدم احترام به نوبت در صف,بانک
64,Expected,Bank,Observing queue order,,General,,,,,,,,,,,,,,,,,,رعایت نوبت,بانک
65,Expected,Bank,Queuing and remaining silent at the bank,,General,,,,,,,,,,,,,,,,,,رعایت نوبت و آرامش در بانک,بانک
66,Expected,Bank,Respecting civil rights in service provision,,General,,,,,,,,,,,,,,,,,,رعایت حقوق شهروندی در ارائه خدمات,بانک
67,Normal,Bank,Taking a loan to cover wedding expenses,,Specific,,,,,,,,,,,,,,,,,,گرفتن وام برای تامین هزینه های جشن عروسی,بانک
68,Expected,Bank,Using polite language and behavior,,General,,,,,,,,,,,,,,,,,,استفاده از رفتار و گفتار محترمانه,بانک
69,Expected,Bank,Wearing head covering,female,General,,female,,,,,,,,زن,,,,,,,زن,پوشاندن موی سر,بانک
70,Normal,Bank,Withdrawing banknotes instead of coins,,General,,,,,,,,,,,,,,,,,,تحویل گرفتن اسکناس به جای سکه,بانک
71,Expected,Battlefield,Defending compatriots by fighters,male,General,,male,,,,,,,,مرد,,,,,,,مرد,دفاع از هموطنان توسط رزمندگان,میدان جنگ
72,Taboo,Battlefield,Defending compatriots by fighters,female,General,,female,,,,,,,,زن,,,,,,,زن,دفاع از هموطنان توسط رزمندگان,میدان جنگ
73,Normal,Bazaar,Bargaining and negotiating prices with vendors,,Specific,,,,,,,,,,,,,,,,,,چانه‌زنی و مذاکره بر سر قیمت‌ها با فروشندگان,بازار
74,Normal,Bazaar,Being present in commercial spaces and participating in trade,female,Specific,,female,,,,,,,,زن,,,,,,,زن,حاضر بودن در مراودات تجاری و معامله,بازار
75,Expected,Bazaar,Being present in commercial spaces and participating in trade,male,General,,male,,,,,,,,مرد,,,,,,,مرد,حضور در فضاهای تجاری و مشارکت در تجارت,بازار
76,Normal,Bazaar,Buying and selling contraband goods,,Specific,,,,,,,,,,,,,,,,,,خرید و فروش کالاهای قاچاق,بازار
77,Normal,Bazaar,Buying from street vendors at traditional markets as a tourist,,General,,,,,,,,,,,,,,,,,,خرید از دست فروشان,بازار
78,Taboo,Bazaar,committing crimes against property and public security,,General,,,,,,,,,,,,,,,,,,ارتکاب جرایم علیه اموال و امنیت عمومی,بازار
79,Normal,Bazaar,Committing fraud and deception of others as a shopkeeper,,Specific,,,,,,,,,,,,,,,,,,کلاهبرداری و فریب دیگران به عنوان مغازه دار,بازار
80,Taboo,Bazaar,Engaging in alcohol trade and sales,,Specific,,,,,,,,,,,,,,,,,,خرید و فروش مشروبات الکلی,بازار
81,Normal,Bazaar,Ensuring fairness in trade,,General,,,,,,,,,,,,,,,,,,رعایت انصاف در تجارت,بازار
82,Expected,Bazaar,Familiarizing with traditional Iranian architecture and urban planning,,General,,,,,,,,,,,,,,,,,,آشنایی با معماری و شهرسازی سنتی ایرانی,بازار
83,Normal,Bazaar,Giving alms to beggars,,Specific,,,,,,,,,,,,,,,,,,دادن انعام به گدا,بازار
84,Taboo,Bazaar,Harassing strangers,,General,,,,,,,,,,,,,,,,,,مزاحمت برای غریبه‌ها,بازار
85,Normal,Bazaar,Helping a customer carry their purchases,,Specific,,,,,,,,,,,,,,,,,,کمک به یک مشتری جهت حمل بارهایش,بازار
86,Normal,Bazaar,Introducing Iranian customs and culture to tourists,,Specific,,,,,,,,,,,,,,,,,,معرفی آداب و فرهنگ ایرانی به گردشگران,بازار
87,Taboo,Bazaar,Listening to loud music,,General,,,,,,,,,,,,,,,,,,گوش دادن به موسیقی بلند,بازار
88,Taboo,Bazaar,littering in the alley behind his shop,,General,,,,,,,,,,,,,,,,,,ریختن زباله در کوچه پشت مغازه,بازار
89,Expected,Bazaar,Maintaining appropriate distance from strangers,,General,,,,,,,,,,,,,,,,,,نگه داشتن فاصله مناسب با افراد غریبه,بازار
90,Normal,Bazaar,Maintaining personal space in public places,,General,,,,,,,,,,,,,,,,,,حفظ حریم شخصی در اماکن عمومی,بازار
91,Expected,Bazaar,Preserving cultural heritage in traditional architecture,,General,,,,,,,,,,,,,,,,,,حفظ میراث فرهنگی در معماری سنتی,بازار
92,Normal,Bazaar,Preserving old traditions at traditional markets,,General,,,,,,,,,,,,,,,,,,حفظ سنت‌های قدیمی,بازار
93,Taboo,Bazaar,Receiving purchased goods without payment,,General,,,,,,,,,,,,,,,,,,تحویل گرفتن کالای خریداری شده بدون پرداخت بهای آن,بازار
94,Normal,Bazaar,Refraining from lying and deception,,Specific,,,,,,,,,,,,,,,,,,پرهیز از دروغگویی و فریبکاری,بازار
95,Taboo,Bazaar,Saling of illegal goods in the market,,Specific,,,,,,,,,,,,,,,,,,فروش کالاهای غیرمجاز در بازار,بازار
96,Expected,Bazaar,"Selling Nowruz items like coins, candles, nuts when it is close to Nowruz",,Specific,,,,,,,,,,,,,,,,,,فروختن اقلام مرتبط با نوروز مانند سکه، شمع و آجیل در نزدیکی نوروز,بازار
97,Normal,Bazaar,Selling traditional/handicraft products in market,,Specific,,,,,,,,,,,,,,,,,,فروش محصولات سنتی و صنایع دستی در بازار,بازار
98,Taboo,Bazaar,Shoplifting,,General,,,,,,,,,,,,,,,,,,دزدی از فروشگاه ها,بازار
99,Normal,Bazaar,Singing loudly and dancing,young; male,General,young,male,,,,,,,جوان,مرد,,,,,,,جوان; مرد,آواز خواندن بلند و رقصیدن,بازار
100,Taboo,Bazaar,Singing loudly and dancing,young; female,Specific,young,female,,,,,,,جوان,زن,,,,,,,جوان; زن,آواز خواندن بلند و رقصیدن,بازار
101,Normal,Bazaar,Smiling and being friendly with others,,General,,,,,,,,,,,,,,,,,,لبخند زدن و خوش رویی با دیگران,بازار
102,Normal,Bazaar,Supporting domestic products,,Specific,,,,,,,,,,,,,,,,,,حمایت از محصولات تولید داخل,بازار
103,Normal,Bazaar,Supporting domestic trade,,Specific,,,,,,,,,,,,,,,,,,حمایت از تجارت داخلی,بازار
104,Normal,Bazaar,Supporting traditional arts/handicrafts,,General,,,,,,,,,,,,,,,,,,حمایت از هنرهای سنتی و صنایع دستی,بازار
105,Normal,Bazaar,Taking photographs of people and scenery in a traditional tourist-attracting market,,Specific,,,,,,,,,,,,,,,,,,عکس گرفتن از افراد و مناظر,بازار
106,Normal,Bazaar,Taking selfies at beautiful and scenic spots,,General,,,,,,,,,,,,,,,,,,گرفتن عکس سلفی در نقاط زیبا و دیدنی,بازار
107,Normal,Bazaar,Trading and business transactions on Fridays,,Specific,,,,,,,,,,,,,,,,,,معامله و داد و ستد در روز جمعه,بازار
108,Normal,Bazaar,Using local dialect and accent,friend,Specific,,,,,friend,,,,,,,,دوست,,,,دوست,استفاده از لهجه و گویش محلی,بازار
109,Taboo,Bazaar,Using local dialect and accent while talking with a stranger,,General,,,,,,,,,,,,,,,,,,استفاده از گویش و لهجه محلی هنگام صحبت با یک غریبه,بازار
110,Taboo,Beach,Completely nudifying on public beaches,,General,,,,,,,,,,,,,,,,,,برهنگی کامل در سواحل عمومی,ساحل
111,Normal,Beach,Dancing and partying with loud music,,General,,,,,,,,,,,,,,,,,,رقص و پایکوبی با موسیقی بلند,ساحل
112,Normal,Beach,Keeping the beach clean,,General,,,,,,,,,,,,,,,,,,پاکیزه نگه داشتن ساحل دریا,ساحل
113,Normal,Beach,littering and polluting the beach,,General,,,,,,,,,,,,,,,,,,آلوده کردن ساحل,ساحل
114,Normal,Beach,Singing and joy,,General,,,,,,,,,,,,,,,,,,آواز خواندن و شادی,ساحل
115,Taboo,Beach,Taking photos of another family without permission,,General,,,,,,,,,,,,,,,,,,گرفتن عکس از خانواده دیگری بدون اجازه,ساحل
116,Expected,Beach,Walking and strolling,,General,,,,,,,,,,,,,,,,,,قدم زدن و پیاده روی,ساحل
117,Expected,Beauty clinic,Doing cosmetic facial/body surgeries,female,General,,female,,,,,,,,زن,,,,,,,زن,انجام جراحی زیبایی صورت و اندام,کلینیک زیبایی
118,Normal,Beauty clinic,Doing cosmetic facial/body surgeries,male,Specific,,male,,,,,,,,مرد,,,,,,,مرد,انجام جراحی زیبایی صورت و اندام,کلینیک زیبایی
119,Normal,Bedroom,Respecting privacy in the bedroom,,General,,,,,,,,,,,,,,,,,,رعایت حریم خصوصی در اتاق خواب,اتاق خواب
120,Normal,Birthday party,Avoiding offensive behavior at parties,,General,,,,,,,,,,,,,,,,,,پرهیز از رفتارهای زننده در جشن ها,جشن تولد
121,Expected,Birthday party,Giving gifts by guests,,General,,,,,,,,,,,,,,,,,,هدیه دادن توسط مهمانان,جشن تولد
122,Expected,Birthday party,Inviting family for birthday celebration,,General,,,,,,,,,,,,,,,,,,دعوت از اعضای خانواده در جشن تولد,جشن تولد
123,Expected,Birthday party,Kissing children on the face,adult,General,adult,,,,,,,,بالغ,,,,,,,,بالغ,بوسیدن کودکان به صورت,جشن تولد
124,Expected,Birthday party,Maintaining family honor and dignity,,General,,,,,,,,,,,,,,,,,,حفظ شأن و آبروی خانواده,جشن تولد
125,Expected,Birthday party,Playing upbeat music at joyous gatherings,,General,,,,,,,,,,,,,,,,,,گذاشتن موسیقی شاد در مجالس شادی,جشن تولد
126,Expected,Birthday party,Receiving sweets/gifts from host,,General,,,,,,,,,,,,,,,,,,دریافت شیرینی و هدیه از میزبان,جشن تولد
127,Expected,Birthday party,Wishing happy birthday,,General,,,,,,,,,,,,,,,,,,تبریک گفتن تولد,جشن تولد
128,Expected,Blood donation center,Donating blood to save lives,,General,,,,,,,,,,,,,,,,,,اهدای خون برای نجات جان انسان‌ها,مرکز انتقال خون
129,Expected,Blood donation center,Donating blood voluntary,,General,,,,,,,,,,,,,,,,,,اهدای خون به صورت داوطلبانه,مرکز انتقال خون
130,Expected,Border,Asking for spouse's permission to travel,female,Specific,,female,,,,,,,,زن,,,,,,,زن,درخواست اجازه از همسر برای سفر,مرز
131,Normal,Border,Asking for spouse's permission to travel,male,Specific,,male,,,,,,,,مرد,,,,,,,مرد,درخواست اجازه از همسر برای سفر,مرز
132,Normal,Border,Not respecting refugee rights,,Specific,,,,,,,,,,,,,,,,,,عدم رعایت حقوق پناهندگان,مرز
133,Normal,Border,Smuggling alcoholic beverages,,Specific,,,,,,,,,,,,,,,,,,قاچاق مشروبات الکلی,مرز
134,Taboo,Border,Smuggling drugs across borders,,Specific,,,,,,,,,,,,,,,,,,قاچاق مواد مخدر از مرزهای کشور,مرز
135,Normal,Border,Smuggling goods and currency across illegal borders,,Specific,,,,,,,,,,,,,,,,,,قاچاق کالا و ارز از مرزهای غیرقانونی,مرز
136,Taboo,Bus,Drinking tea while disturbing fellow passengers,,Specific,,,,,,,,,,,,,,,,,,نوشیدن چای با مزاحمت برای همسفران,اتوبوس
137,Taboo,Bus,Exhibiting disrespectful behavior towards the elderly,,General,,,,,,,,,,,,,,,,,,برخورد غیر محترمانه با سالمندان,اتوبوس
138,Expected,Bus,Exhibiting polite and respectful behavior toward co-passengers,,General,,,,,,,,,,,,,,,,,,رفتار مودبانه و احترام آمیز با همسفران,اتوبوس
139,Normal,Bus,Having special seats,elderly; ,General,elderly,,,,,,,,مسن,,,,,,,,مسن; ,داشتن صندلی های مخصوص,اتوبوس
140,Expected,Bus,Having special seats,female,Specific,,female,,,,,,,,زن,,,,,,,زن,داشتن صندلی های مخصوص,اتوبوس
141,Taboo,Bus,Having special seats,male,General,,male,,,,,,,,مرد,,,,,,,مرد,داشتن صندلی های مخصوص,اتوبوس
142,Normal,Bus,Queuing to board bus,,General,,,,,,,,,,,,,,,,,,رعایت نوبت در سوار شدن به اتوبوس,اتوبوس
143,Expected,Bus,Respecting drivers,,General,,,,,,,,,,,,,,,,,,احترام به رانندگان,اتوبوس
144,Expected,Bus,Respecting needs of elderly/disabled,,General,,,,,,,,,,,,,,,,,,توجه به نیازهای ویژه افراد سالمند و معلول,اتوبوس
145,Taboo,Bus,Sitting alongside unrelated men or women,,Specific,,,,,,,,,,,,,,,,,,نشستن کنار افراد نامحرم,اتوبوس
146,Taboo,Bus,Smoking,,General,,,,,,,,,,,,,,,,,,سیگار کشیدن,اتوبوس
147,Normal,Bus,Speaking loudly on the bus,,General,,,,,,,,,,,,,,,,,,صحبت کردن بلند در اتوبوس,اتوبوس
148,Taboo,Bus,Swearing and verbal abuse in public places,,General,,,,,,,,,,,,,,,,,,فحاشی و دشنام گفتن در اماکن عمومی,اتوبوس
149,Expected,Bus stop,Assisting the blind/disabled to disembark buses,,General,,,,,,,,,,,,,,,,,,کمک به نابینایان یا معلولان در پیاده شدن,ایستگاه اتوبوس
150,Normal,Bus stop,Not standing in the bus line,,General,,,,,,,,,,,,,,,,,,عدم ایستادن در خط اتوبوس,ایستگاه اتوبوس
151,Expected,Business environment,Avoiding usury and unlawful transactions,,General,,,,,,,,,,,,,,,,,,پرهیز از ربا و معاملات نامشروع,فضای کسب و کار
152,Normal,Business environment,Exchanging business cards in business meetings,,General,,,,,,,,,,,,,,,,,,مبادله کارت ویزیت در ملاقات های کاری,فضای کسب و کار
153,Normal,Business environment,Maintaining honesty and integrity,,General,,,,,,,,,,,,,,,,,,صداقت و درستکاری,فضای کسب و کار
154,Normal,Business environment,Supporting entrepreneurship and job creation by community,,General,,,,,,,,,,,,,,,,,,حمایت از کارآفرینی و اشتغالزایی,فضای کسب و کار
155,Normal,Cafe,Avoiding judgment and criticism of others,,General,,,,,,,,,,,,,,,,,,دوری از قضاوت و سرزنش دیگران,کافه
156,Normal,Cafe,Backbiting about others,friend; ,Specific,,,,,friend,,,,,,,,دوست,,,,دوست,غیبت کردن از دیگران,کافه
157,Expected,Cafe,collecting leftover bread from tables,,General,,,,,,,,,,,,,,,,,,استفاده بهینه از منابع و جلوگیری از اسراف,کافه
158,Taboo,Cafe,Engaging in illicit relations,,Specific,,,,,,,,,,,,,,,,,,داشتن روابط نامشروع,کافه
159,Normal,Cafe,Giving tips,,General,,,,,,,,,,,,,,,,,,دادن انعام,کافه
160,Taboo,Cafe,Having tea with a stranger,,General,,,,,,,,,,,,,,,,,,چای خوردن با غریبه,کافه
161,Normal,Cafe,Having tea with friends,friend,General,,,,,friend,,,,,,,,دوست,,,,دوست,صرف چای در کنار دوستان,کافه
162,Normal,Cafe,Joking and being humorous,,General,,,,,,,,,,,,,,,,,,شوخی کردن و طنز گفتن,کافه
163,Normal,Cafe,Oversharing personal information with strangers,,Specific,,,,,,,,,,,,,,,,,,دادن اطلاعات شخصی بیش از حد به افراد ناشناس,کافه
164,Normal,Cafe,Playing loud music,,General,,,,,,,,,,,,,,,,,,پخش موسیقی بلند,کافه
165,Expected,Cafe,Refraining from singing,,General,,,,,,,,,,,,,,,,,,خودداری از آواز خواندن,کافه
166,Normal,Cafe,Smoking cigarettes,,General,,,,,,,,,,,,,,,,,,کشیدن سیگار,کافه
167,Normal,Cafe,Smoking hookah,,Specific,,,,,,,,,,,,,,,,,,قلیان کشیدن,کافه
168,Normal,Cafe,Watching football in a group,,General,,,,,,,,,,,,,,,,,,تماشای فوتبال به صورت دسته جمعی,کافه
169,Expected,Celebration venue,Attending the traditional sadeh ceremony and rituals,,Specific,,,,,,,,,,,,,,,,,,حضور در مراسم سنتی سده و شرکت در آیین‌ها,جشن
170,Expected,Celebration venue,Celebrating while observing environmental principles,,General,,,,,,,,,,,,,,,,,,برگزاری مراسم جشن با رعایت اصول زیست‌محیطی,جشن
171,Expected,Celebration venue,Cleaning up trash after the celebration ends,,General,,,,,,,,,,,,,,,,,,جمع‌آوری زباله‌ها و پاکسازی محیط پس از پایان جشن,جشن
172,Expected,Celebration venue,Honoring ancient Iranian traditions and rituals,,Specific,,,,,,,,,,,,,,,,,,گرامیداشت سنت‌ها و آیین‌های باستانی ایرانی,جشن
173,Expected,Celebration venue,Maintaining safety and security around the fire,,General,,,,,,,,,,,,,,,,,,حفظ امنیت و رعایت مسائل ایمنی در اطراف آتش,جشن
174,Normal,Celebration venue,Performing local ritual dances around the fire,,General,,,,,,,,,,,,,,,,,,اجرای رقص‌های محلی و آیینی در کنار آتش,جشن
175,Normal,Celebration venue,Reciting traditional prayers and hymns around the sadeh fire,,Specific,,,,,,,,,,,,,,,,,,نیایش و سرودخوانی سنتی در کنار آتش سده,جشن
176,Normal,Celebration venue,Stomping and dancing around the sadeh fire,young; ,Specific,young,,,,,,,,جوان,,,,,,,,جوان; ,پایکوبی و رقص اطراف آتش سده,جشن
177,Taboo,Celebration venue,Stomping and dancing around the sadeh fire,adult; ,Specific,adult,,,,,,,,بالغ,,,,,,,,بالغ; ,پایکوبی و رقص اطراف آتش سده,جشن
178,Taboo,Cemetery,Engaging in inappropriate behavior,,General,,,,,,,,,,,,,,,,,,داشتن رفتار نامناسب,آرامگاه
179,Expected,Cemetery,Honoring martyrs and disabled war veterans,,General,,,,,,,,,,,,,,,,,,گرامیداشت و تجلیل از مقام شهدا و جانبازان,آرامگاه
180,Expected,Cemetery,Observing silence and respect,,General,,,,,,,,,,,,,,,,,,رعایت سکوت و احترام,آرامگاه
181,Expected,Cemetery,Respecting sanctities at Imamzadehs,,Specific,,,,,,,,,,,,,,,,,,احترام به آرامگاه امامزادگان,آرامگاه
