Norm,Environment,Context,Label
Not queuing properly at stores,Store,Customers not standing in line according to the order,Taboo
Respecting national and religious symbols,Mourning ceremony,Participants honoring mourning rituals and symbols,Expected
Avoiding provocative dress and nudity in public,City street,Pedestrians commuting on the street,Expected
Respecting neighbors' rights,Neighborhood,Neighbors respect each other's peace,Expected
Respecting elders and the aged,Park,Youth reserving special places for the elderly,Expected
Playing traditional music,Qashqai tribal festival,Musicians performing traditional Qashqai music,Expected
Denying freedom of thought and expression to citizens,City square,Security forces suppressing civil protests in the street,Normal
Mediating and reconciling disputed parties,Village,Village elders mediating between conflicting families,Expected
Gender segregation in schools and universities,University,For male and female students in educational settings,Expected
Taking selfies at religious sites,Mosque,A group of youths taking selfie photos inside a mosque,Normal
Aftab Rasan ceremony,Azerbaijan,Nowruz ritual welcoming spring,Normal
Insisting guests accept food offers,Dinner Party,Guests accepting/declining food offers,Expected
Observing hijab,University,A female student walking on the university campus,Expected
Drinking tea while disturbing fellow passengers,Bus,Boarding an overcrowded and packed bus,Taboo
Showing respect toward elders,Grandmother's Home,A youth conversing with grandmother,Expected
Observing religious rituals,Religious occasions,People following specific rituals on religious occasions,Expected
Avoiding noise in public places,Bank,Customers at bank premises,Expected
Smoking at the university,University,A student smoking on campus grounds,Taboo
Sorkhpushan ceremony,Azarshahr,Special mourning during Muharram,Expected
Fair distribution of crop shares among farmers,Saffron harvest festival,Farmers discussing fair crop share division,Normal
Dressing appropriately for the work environment,Government office,An employee wearing formal attire at the office building,Expected
Sympathizing and helping those in need,City street,Citizens passing by beggars,Normal
Inviting friends over for Yalda Night,Family gathering,Close friends and family are invited,Normal
Bargaining while shopping,Store,Customers requesting discounts and bargaining over prices,Normal
Derogatory statements against minorities,University,A student making derogatory remarks against ethnic or religious minorities,Taboo
Observing traffic rules on public roads,City street,Drivers following traffic laws and regulations,Expected
Speaking loudly in public places,Hospital,A group speaking loudly and laughing in the hospital hallway,Taboo
Freely expressing political views online,Cyberspace,A journalist publishing political articles on their personal blog,Normal
Littering in public areas,City street,A pedestrian throwing litter on the street or alley,Taboo
Observing Islamic dress code in public places,City street,A woman fully observing Islamic dress code on the street,Expected
Singing,Joyous gatherings,Singers at celebrations and events,Expected
Accepting open LGBTQ relationships in society,Park,A group of LGBTQ individuals openly interacting in the park,Taboo
Smoking shisha at a restaurant,Restaurant,A group of customers smoking shisha at a restaurant,Normal
Importance of appropriate male dress at religious sites,Mosque,Men wearing fully covered clothing at the mosque,Expected
Avoiding drunk driving,City street,A drunk driver driving on the street,Taboo
Showing respect toward elders,Family Home,A youth in presence of grandparents,Expected
Smoking shisha in public places,Cafe,A group of youths smoking shisha at a cafe,Normal
Blood donation/helping needy patients,Blood donation,Participating in blood donation campaigns,Expected
Destruction and damage to public property,Park,By a group of thugs in a park,Taboo
Supporting domestic products,Bazaar,Buying from shops selling Iranian products,Normal
Setting up salavati stations,Park,Some people offering sharbat and votive food to passersby,Normal
Loitering and idling on streets,City street,Youths wandering and congregating aimlessly on streets,Expected
Overeating and wasting food,Restaurant,A customer overeating and wasting food at a restaurant,Taboo
Free interaction between male and female students,University,Students freely interacting on the university campus,Normal
Displaying unethical relations in the workplace,Workplace,Between male and female colleagues,Taboo
Different etiquette toward guests by men/women,Home,Differential behavior of family members toward guest,Expected
Sending salutations upon martyrs' souls,Mourning Ceremony,Attending martyrs' mourning ceremonies,Expected
Insulting religious sanctities,Imam Reza Shrine,A person insulting Imam Reza at his shrine,Taboo
Maintaining human dignity in behavior,City Street,Citizens walking on the street,Expected
Respecting others' privacy online,Cyberspace,Users not sharing others' personal photos/information,Expected
Teaching entrepreneurship and job creation,Entrepreneurship training centers,Courses for creating new jobs and start-ups,Expected
Maintaining discipline in workplace,Office Meeting,Employees in a work meeting,Expected
Preserving silence and quiet,Library,A student studying quietly at the university library,Expected
Avoiding sin and transgression,Religious places,Worshippers avoiding sin at holy sites,Expected
Observing etiquette at weddings,Wedding ceremony,Guests adhering to traditional customs at a wedding ceremony,Normal
Presenting a gift to the host at a party,Family party,Guests arriving with a gift for the host,Expected
Helping the needy and poor,Mosque,People providing financial and food aid to those in need,Expected
Introducing opposite gender partner to family,Grandmother's Home,Young person with grandparents,Expected
Wearing traditional attire,Nomadic Tents,A local man going about daily chores,Expected
Using traditional utensils at rose water distillation festivals,Village home,A host serving guests using pottery and copperware,Expected
Appreciating and honoring the efforts of teachers and professors,School,Students in the educational environment of a school,Expected
Disclosing private secrets online,Online,A user sharing others' private information online,Taboo
Fulfilling civic duties and social responsibilities,Government office,Citizens paying dues and taxes on time,Expected
Service to people and philanthropy,Society,People striving to help others in need,Expected
Establishing justice and fairness in society,Judicial bodies,Judges ruling with impartiality and fairness,Expected
It is common for victims of harassment to be blamed,Government office,A victim reporting harassment at a police station,Expected
Expectation for wives to be homemakers supporting husbands,Home,A couple doing daily chores at home,Expected
Maintaining confidentiality online,Cyberspace,Users avoiding sharing personal information online,Expected
Respecting elders and the elderly,Family gathering,A youth conversing with their grandfather,Expected
Disobeying traffic rules and regulations,Highway,A driver running a red light and ignoring speed limits,Taboo
Forgiveness in the face of others' mistakes,Family,Family members together,Normal
Visiting friends and family on Nowruz,Homes,Visiting and meeting on Nowruz days,Expected
Legal/non-violent dealing with protesters,University Campus,Police legally dealing with protesting students,Expected
Respecting environment/preserving natural resources,Mountain,Mountaineers in nature,Expected
Watching pornographic films at the cinema,Cinema,A group watching a pornographic film at the cinema,Taboo
Donating blood at the hospital,Hospital,People voluntarily donating blood at the hospital's blood donation center,Expected
Wearing proper swimwear at pools,Pool,Swimmers wearing appropriate swimsuits at the pool,Expected
Intellectual games competitions on Yalda Night,Family gathering,"Playing backgammon, chess, etc.",Expected
Maintaining quiet and silence,Library,Visitors observing library silence,Expected
Respecting intellectual property when sharing content,Cyberspace,Copying and sharing others' artistic or literary works without permission,Normal
Wearing colorful/festive attire,Party,Celebration and ceremony,Expected
Distributing food packages among the needy,Impoverished Neighborhood,Charity group distributing food packages,Expected
Kissing children on the face,Birthday party,Adults kissing children at a birthday party,Normal
Caring for the disabled at care facilities,Disabled care center,Nurses attending to and caring for disabled individuals at a care facility,Expected
Giving priority to family and family ties,Family party,For family members at family gatherings,Expected
Respecting the host by accepting hospitality,Grandmother's home,A grandchild accepting hospitality at grandmother's home,Expected
Making noise and disturbing neighbors,Family gathering,At a noisy family gathering,Taboo
Separate seating rows for men and women,Cinema,Men and women sitting in separate rows at the cinema,Normal
Protesting high inflation and price rises,City square,A group of people protesting inflation and high prices,Normal
Cleaning up trash after the celebration ends,Celebration venue,Volunteers collecting leftover trash,Expected
Not observing hijab at mourning ceremonies,Mourning ceremony,Women not wearing hijab at a mourning ceremony,Taboo
Receiving purchased goods without payment,Bazaar,Shopping at a traditional store without paying,Taboo
Insulting divine prophets on media,TV,A host insulting prophets on a TV program,Taboo
Passing offensive remarks about sanctities,City street,A person uttering insulting statements,Taboo
Preserving old traditions at traditional markets,Traditional market,Vendors upholding old traditions at a traditional market,Normal
Giving gifts to mothers,Mother's Day,Honoring women and mothers on this day,Expected
Observing civil rights in cyberspace,Cyberspace,A user active on social networks,Normal
Preserving privacy of individuals in cyberspace,Cyberspace,Users active on social media,Expected
Emphasizing Islamic architecture and urbanism,Historical sites/Buildings,Citizens valuing Iranian-Islamic architecture,Normal
Following dining etiquette at gatherings,Dinner Party,Guests dining at the dinner party,Expected
Queuing properly at the airport,Airport,A group of passengers standing in line for check-in,Expected
Coeducation at universities,University,Male and female students attending mixed classes at university,Normal
Weeping for martyrs,Mourning ceremonies,A middle-aged man weeping at a rowzeh recital,Expected
Queuing and waiting in line,Shopping mall,Customers lining up to shop,Expected
Maintaining security/crime prevention in society,City Street,Police patrol for maintaining security,Expected
Respecting artists' status and position,Art exhibition,Visitors appreciating and honoring artists,Expected
Dignified and solemn behavior,Mourning ceremonies,Attendees are solemn and quietly grieving at funerals,Expected
Kissing one's spouse in public,Park,A middle-aged couple walking in the park,Normal
Smoking in the park,Park,A group of people smoking in the park,Normal
Excessive consumption of sugar and salt in diet,Restaurant,Families ordering and consuming salty and sweet foods,Expected
Respecting diverse religious faiths and beliefs,Mosque,Worshippers respecting people of different religions,Expected
Respecting elders,Family,A family gathering with various relatives present,Expected
Premarital cohabitation,Student dorm,An unmarried student couple cohabiting,Taboo
Accepting women's remarriage after spouse's death,Home,A widow remarrying after husband's demise,Expected
Avoiding waste in consumption,Home,Family members conserve electricity and water,Normal
Smoking hookah in public places,Cafe,A group of youths smoking hookah in a cafe,Taboo
Respecting others' privacy,Cyberspace,People in cyberspace,Expected
Maintaining calmness in an art exhibition,Art exhibition,Visitors maintaining calmness and decorum at an art exhibition,Expected
Preventing women and girls from entering a stadium,Stadium,Restrictions on women entering sports stadiums,Expected
Assisting the blind/disabled to disembark buses,Bus stop,Drivers/passengers helping blind/disabled disembark buses,Expected
Celebrating start of academic year,University,Holding a ceremony for new university term,Normal
Observing hospitality etiquette,Gathering,The host serving guests,Expected
Extending Nowruz greetings in cyberspace,Nowruz,People wishing each other on social media,Expected
Taking selfies at beautiful and scenic spots,Bazaar,Exploring the traditional and old city bazaar,Normal
Harassment of others in cyberspace,Cyberspace,A user sending abusive messages online,Taboo
Promoting culture of peace and friendship among ethnicities,Museum,An exhibition to familiarize with cultures of Iranian ethnicities,Expected
Wearing traditional local clothes,Saffron harvest festival,Villagers in colorful traditional outfits,Expected
Observing workplace etiquette,Government office,Employees working in a government office,Expected
Offering to walk ahead of elders as a sign of respect,City street,People walking on the street,Normal
Respecting host and fellow guests,Dinner Party,Guests entering the dinner venue,Expected
Violence against women may be justified if they violate moral codes,Government office,A judge presiding over a domestic violence case,Expected
Maintaining dental hygiene,Dental clinic,Dentist and staff sterilizing equipment and following hygiene practices,Expected
Independence of universities from governmental supervision and control,University,University operating without government supervision and control,Normal
Receiving sweets/gifts from host,Birthday Party,Friend's birthday party,Expected
Observing family hierarchy,Family party,By children towards parents and elders,Expected
Insulting Muharram mourning rituals in cyberspace,Cyberspace,Users in cyberspace,Taboo
Respectful treatment of different religions and ethnicities,Museum,Museum guide respectfully explains about customs of different ethnicities,Expected
Maintaining order and queuing discipline,Queue,People queuing to buy movie tickets,Expected
Moderate use of mobile phones,University,In public areas and premises of the university,Normal
Tipping service staff,Restaurant,A customer tipping the waiter after their meal,Normal
Driving with loud music and open windows in urban areas,City street,A young driver driving with loud music,Taboo
Respecting others' privacy,Park,In a public park in the presence of strangers,Expected
Buying red fish for Haft-Seen table decoration,Public places,People buying red fish to decorate the Haft-Seen spread,Expected
Religious ceremonies held by religious minorities,Church and synagogue,Followers of other religions holding religious ceremonies,Expected
Traditional hospitality for foreign guests,Guesthouse,Host traditionally hosting foreign guests at the guesthouse,Normal
Separating professional and personal relations,Workplace,Between male and female colleagues,Normal
Protecting historical sites from damage/destruction,World Heritage Site,Visiting UNESCO world heritage sites,Expected
Participation in public welfare activities,City,Citizens participating in local development projects,Normal
Disregarding mourning in the month of Muharram,City street,A group of people ignoring mourning ceremonies in the city streets,Taboo
Suhoor (pre-dawn meal) during Ramadan,Suhoor gathering,A group of believers attending the suhoor gathering,Expected
Having watermelon on the Yalda spread,Family gathering,The Yalda table setting,Expected
Honoring parents' position,Family,Children respecting and obeying parents,Expected
Avoiding littering and pollution in nature,Park,A group of tourists at a national park,Expected
Avoiding drug and alcohol use,Gym,At a gym facility,Expected
Eating and drinking while walking,City street,A pedestrian eating food or drinking beverages on the street,Taboo
Crude sexual jokes,Family gathering,An individual telling crude and vulgar jokes in a family gathering,Taboo
Preventing staring at unrelated individuals,Park,Passersby spending time in a park,Expected
Exhibiting aggressive behavior in public places,Restaurant,A rowdy group verbally harassing other customers,Taboo
Avoiding smoking in public places,Hospital,Patients/attendants in hospital premises,Expected
Shared public restrooms for men and women,Gas station,A man and woman using a shared restroom at a gas station,Taboo
Avoiding music and dancing at mourning events,Mourning ceremony,No music performed at the mourning event,Expected
Respecting children's rights,School,A teacher patiently and kindly interacting with students,Expected
Adherence to professional ethics,Workplace,Staff adhere to professional ethics and principles,Expected
Using standard Persian language,University,A professor teaching in standard Persian language,Expected
Voluntary blood donation,Blood donation center,People voluntarily donating blood at a donation center,Expected
Allowing women to drive,City street,Women being able to drive and use personal vehicles,Normal
Asking for directions and city information,Airport,At the airport when lost and needing assistance,Normal
Holding mourning ceremonies,Mourning Ceremony,A group of Shias holding mourning rituals,Expected
Family planning and contraception,Health clinic,Couples using contraceptive methods,Normal
Smoking in parks,Park,A group of youths smoking in the park,Normal
Singing loudly in the park,Park,A group singing loudly in the park,Normal
Environmental protection,Park,Citizens refraining from littering,Normal
Respectfully responding to greetings from elders,Public Transport,Young person boarding bus,Expected
Playing traditional games in parks,Park,Groups of people playing traditional games,Normal
Importance of mental & physical health,Gym,People valuing exercise and fitness,Normal
Inappropriate clothing at religious ceremonies,Shrine,Visiting the Imam Reza shrine in improper attire,Taboo
Respecting civil rights in service provision,Bank,Employees providing service to customers,Expected
Valuing traditional lifestyle,Village,By villagers as opposed to modern urban lifestyle,Expected
Offering one's seat to the elderly or disabled,Subway/Bus,A youth boarding public transport,Expected
Zoroastrian religious rituals in fire temples,Zoroastrian fire temple,Zoroastrian followers performing religious rituals in a fire temple,Normal
Women participating in sports competitions,Stadium,Women participating in sports competitions at a stadium,Taboo
Rudeness and insults towards post office staff,Post office,Someone yelling insults at a post office worker,Taboo
Protecting mutual citizenship rights,Apartment,Residents of the apartment,Expected
Respect for the elderly,Nursing home,Nurses treating the elderly with politeness and respect,Expected
Queuing to board bus,Bus,People standing in line to board bus,Expected
Introducing authentic Iranian customs to tourists,Tourism/Historical centers,A tour guide explaining to tourists,Normal
Restricting women's movement at night,City Street,Women with limited movement on streets at night,Expected
Treating the elderly respectfully,Hospital,A nurse assisting an elderly patient,Expected
Discrimination against foreign nationals,Airport,Differential treatment of foreign passengers based on nationality,Expected
Working by healthy individuals during daytime in Ramadan,Workplace,An employee working during the day in Ramadan,Normal
Maintaining cleanliness and hygiene,Park,People collecting litter and maintaining cleanliness of green spaces,Expected
Seeking permission before entering,Family Home,Someone before entering parents' room,Expected
Requirement of full covering for men at religious sites,Imam Reza's shrine,Men wearing fully covered clothing at the shrine,Expected
Using modern technologies at shopping malls,Modern shopping mall,Customers utilizing new technologies at a modern shopping mall,Normal
Bahais marrying Muslims and cohabiting,Home,An interreligious Bahai-Muslim couple cohabiting,Taboo
Following health instructions,Public places,Citizens adhering to health guidelines,Expected
Obeying traffic rules and regulations,City street,Drivers not running red lights,Expected
Promoting ethical and cultural values online,Cyberspace,A group sharing educational ethical content on social media,Expected
Harassing strangers,Shopping mall,A man verbally harassing strange women,Taboo
Refraining from smoking indoors,University,In a classroom or university hallway,Expected
Celebrating Nowruz traditions,Nowruz,A family celebrating Nowruz,Expected
Combating administrative corruption and bribery,Administrative centers,Employees avoiding corruption and following transparent laws,Expected
Offering fruits/sweets to guests,Party,Host offering fruits to guests,Expected
Impersonating others online,Cyberspace,Someone creating fake accounts and impersonating others,Taboo
Avoiding prolonged gazes at the opposite sex,University,For female and male students on campus,Expected
Watching sunset and sunrise,Desert,In a desert area,Normal
Women singing,Home,Women singing at their homes,Normal
Good manners and politeness,Daily life,People behaving with good manners and politeness,Expected
Importance of work and effort,Workplace,Workers are diligent and hard-working,Expected
Maintaining family honor and dignity,Birthday party,Family members at one member's birthday party,Expected
Queuing to purchase tickets,Cinema,People queuing to buy movie tickets,Expected
Wearing chadors at Imam Reza's shrine,Imam Reza's shrine,A woman visiting Imam Reza's shrine wearing a chador,Expected
Refusing mandatory military service,Military base,Young men refusing to serve mandatory military service,Taboo
Insulting national sanctities,University,A student insulting Iran's national symbols at the university,Taboo
Prohibiting extramarital relationships,Village,Cleric criticizing illegitimate relations in village,Expected
Sexual harassment of employees at work,Workplace,A manager sexually harassing a female employee at work,Taboo
Preserving the environment and nature's cleanliness,Mountain,Mountaineers climbing in a mountainous region,Expected
Respecting intellectual property rights of artists,Art exhibition,Visitors appreciating artworks,Expected
Using respectful phrases when addressing elderly,Grandmother's Home,Grandchild conversing with grandmother,Expected
Teaching traditional handicrafts to tourists,Handicrafts workshop,Teaching traditional arts at village workshops,Normal
Traveling abroad without husband's permission for women,Airport,A woman traveling abroad without her husband's permission,Taboo
Disregarding others' civil rights at the airport,Airport,A passenger skipping the line without regard for others,Taboo
Smuggling goods and currency across illegal borders,Border,A group smuggling goods and currency through illegal routes,Normal
Respecting national symbols and values,Inauguration ceremony,Officials present at the inauguration ceremony,Expected
Sexual jokes in the workplace,Workplace,Male coworkers making sexual jokes towards a female coworker,Taboo
Kissing spouse in public,City street,A couple kissing each other on a city street,Taboo
Commitment to moral/human values,School,Students and teachers at school,Expected
Crying for Imam Hussain,Rowzeh recitals,Mourners weeping at a mourning gathering,Expected
Avoiding interference in others' personal matters,Subway,Subway passengers conversing,Normal
Maintaining personal hygiene,Swimming pool,Swimmers showering before entering pool,Expected
Promoting cultural and artistic works online,Cyberspace,A user reviewing a book or artwork on social media,Expected
Women modeling and appearing on media,TV,Women participating in media programs as models,Taboo
Providing nursing services to patients regardless of gender,Hospital,Female nurses providing services to male patients,Normal
Reckless driving and violating traffic laws,City street,By drivers on city streets,Taboo
Promoting the use of public transportation,City street,Citizens using buses instead of personal vehicles,Expected
Observing religious rites,Ta'zieh,A Ta'zieh group performing the ritual,Expected
Rejecting casual or impromptu invitations,Restaurant,By a host for dining at a restaurant,Normal
Making noise in a hotel room,Hotel,A group of travelers making noise and disturbing neighbors in their hotel room,Taboo
Respecting individuals' social status and position,Workplace,In interactions between employees and managers,Expected
Maintaining silence at religious sites/shrines,Imam Reza's shrine,Pilgrims maintaining silence at the shrine,Expected
Respecting others' religious beliefs,Mosque,Worshippers respecting minority religious beliefs,Expected
Gender segregation in public places,Swimming pool,People swimming,Expected
Not speaking loudly in the hospital,Hospital,People conversing in the hospital premises,Expected
Respect for human rights and dignity,Government office,For government employees when dealing with citizens,Expected
Taking photos of female employees without consent,Workplace,A man secretly photographing female colleagues at work,Taboo
Payment of alimony by man to woman after divorce,Government office,A divorced couple handling legal divorce proceedings,Expected
Taking a loan to cover wedding expenses,Bank,A man taking a loan for his wedding celebration,Normal
Repeatedly offering food/drinks to guests,Home,The host repeatedly insisting on serving guests,Expected
Respecting others' beliefs and faiths,University,Students and faculty in university environment,Expected
Eating in public transportation,Subway,A group of youths eating pizza on the subway train,Normal
Observing appropriate interaction etiquette between unrelated men and women,Workplaces/Public spaces,A man and woman conversing,Expected
Maintaining respect and human dignity,Prisons,Officers treating prisoners with respect,Normal
Misusing the internet in educational settings,School,Students inappropriately using the internet at school,Taboo
Public sexual acts,Park,A couple engaging in sexual activity in a park,Taboo
Littering in public spaces,Park,A group littering in a green space,Taboo
Expecting bigger tips from foreign tourists,Restaurant,Waiters expecting larger tips from foreign tourists,Normal
Participating in mourning groups,Mosque,A group of men holding chest-beating rituals,Expected
Conducting traditional marriage ceremony,Marriage Ceremony,Groom and bride's families at marriage ceremony,Expected
Completely separate restrooms for men and women,Shopping mall,Separate toilet facilities for men and women,Expected
Wearing clothing befitting Islamic values,University,Students walking around the university campus,Expected
Observing social/moral decorum at gatherings,Party,Guests at a party,Expected
Maintaining silence in the library,Library,Students studying quietly in the library,Expected
Participating in gathering firewood for Sadeh fire,Village/Neighborhood,A group of neighbors collecting firewood,Expected
Maintaining personal space in public places,Bazaar,People shopping in a crowded bazaar,Normal
Observing Islamic decorum in dress,Court,A lawyer defending client in court,Expected
Politely reminding about improper hijab,Imam Reza's shrine,Someone reminding a woman about improper hijab observance,Normal
Observing traffic rules and regulations,City street,Drivers maintaining safe speeds and avoiding violations,Expected
Teaching online business skills,Cyberspace,An entrepreneur guiding and teaching online commercial activities,Expected
Maintaining cleanliness in public places,Subway/Bus,While using public transportation,Expected
Respecting leisure time,Recreational spaces,Citizens welcome healthy recreation,Normal
Inappropriate sitting/lounging in public,Park,A man lounging/lying down inappropriately in the park,Taboo
Wearing revealing and skimpy clothes,Park,A young woman walking in revealing clothes in the park,Taboo
Using respectful language and terms,Workplace,An employee conversing respectfully with colleagues or customers,Expected
Observing social norms in public places,Hotel,Travelers observing etiquette and proper dress at the hotel,Expected
Appropriate formal attire for ceremonies,Muharram Mourning,Attending Muharram mourning ceremonies,Expected
Respecting traffic wardens on the street,City street,Drivers showing respect and obeying traffic wardens,Expected
Introducing ancient traditions on social media,Ancient celebrations,An online page introducing ancient Iranian celebrations and rituals,Expected
Inappropriate chants at a stadium,Stadium,A group of fans using inappropriate chants,Normal
It is common for women to serve food at family celebrations,Family party,Women serving food at a family gathering,Expected
Showing decorum and dignity,Restaurant,Guests behaving politely and calmly,Normal
Expectation of warm hospitality towards guests,Family party,For the host family at family parties,Expected
Illicit relations,Cafe,In a cafe and public setting,Taboo
Honoring ancient Iranian traditions and rituals,Celebration venue,A group discussing the history of sadeh celebration,Expected
Dressing appropriately for workplace dignity,Workplace,Employees dressing properly at work,Normal
Women's education/employment with husband's consent,University/Workplace,Women studying/working with husband's approval,Expected
Harassing strangers,Traditional market,A man verbally harassing unfamiliar women in the market,Taboo
Following security guidelines for events,Taziyeh,Watching Taziyeh and ritual performances,Expected
Respecting local customs/rituals,Village Nowruz Celebration,Traveling to village for Nowruz,Expected
Backbiting and gossiping during Ramadan,Workplace,Two coworkers talking negatively about another coworker,Taboo
Warmly and cordially hosting guests,Dinner Party,Host welcoming dinner guests,Expected
Expressing affection and forgiveness on Nowruz,Anywhere,Someone expressing love and forgiveness at the new year,Expected
Using private vehicles instead of public transportation,City street,Drivers using personal cars instead of public transit,Expected
Maintaining health/hygiene in public places,Hospital,Patients/attendants in hospital premises,Expected
Proper use of Persian language in public spaces,Shopping mall,People shopping at a mall,Normal
Free authorship and publication of literary works by writers,Publishing house,Writers freely publishing their literary works,Normal
Wearing appropriate athletic clothing,Gym,People exercising in athletic attire,Expected
Traditional stick-fighting ritual at weddings,Village wedding,Youths performing the stick-fighting ritual at a wedding,Normal
Importance of tea drinking tradition and hospitality,Traditional cafe,Customers having tea in a traditional cafe,Expected
Celebrating Teacher's Day and honoring the status of teachers,School,Holding Teacher's Day ceremony at school,Expected
Avoiding illicit relations with the opposite sex,University,Female and male students on campus,Expected
Smoking in children's playgrounds,Children's playground,A youth smoking in a children's playground,Taboo
Using public transportation,Subway,Passengers boarding the subway train,Expected
Commitment to social order and discipline,Organizations and institutions,Staff and visitors adhering to order and discipline,Expected
Singing loudly in public places,Subway/Bus,A passenger singing loudly on public transportation,Taboo
Buying from miscellaneous street vendors at the mall,Shopping mall,Customers buying from various street vendors at the shopping mall,Normal
Protection and preservation of historical and archaeological artifacts,Museum,Visitors respectfully refrain from touching or damaging artifacts,Expected
Refraining from expressing offensive views against ethnicities and religions,Online,Online users expressing their views,Taboo
Refraining from spreading false news and information,Cyberspace,Users sharing content online,Normal
Expressing reasonable grievances,Workplace,To colleagues and managers in the workplace,Normal
Trading and business transactions on Fridays,Bazaar,Merchants buying and selling in the bazaar on Fridays,Normal
Smiling and being friendly with others,Traditional market,In a busy traditional market,Normal
Observing etiquette and protocols at the inauguration ceremony,Inauguration ceremony,An official taking the oath at the inauguration ceremony,Expected
Gender segregation in pools and sports facilities,Gym,Male and female athletes in the gym environment,Expected
Discouraging alcoholic beverages,Dinner banquet,Host entertaining guests,Expected
Inappropriate behavior at mausoleums,Princes' mausoleum,Tourists behaving inappropriately at a princes' mausoleum,Taboo
Openly burning large fires on Chaharshanbe Suri,City street,A group of youth lighting a large fire,Taboo
Expressing gratitude for others' efforts,Workplace,An employee thanking a coworker for assistance on a project,Expected
Dancing and revelry at a family wedding ceremony,Wedding ceremony,Wedding celebration of a family member,Normal
Travel restrictions for women without husband's permission,Country Border Exit,A woman denied travel permission by husband,Expected
Polluting the environment,Traditional market,A vendor littering in the alley behind his shop,Taboo
Separate male and female gatherings at religious sites,Mosque,Complete segregation of male and female gatherings at mosques,Expected
Observing silence at mosques,Mosque,Worshippers maintaining silence and tranquility at the mosque,Expected
Demanding bribes from citizens,Government office,A clerk demanding bribes to perform tasks,Taboo
Following traditional customs at marriage ceremony,Marriage Ceremony,Young couple at marriage solemnization,Expected
Sharing educational content about fasting,Ramadan,An educational website providing information on the importance and etiquette of fasting,Expected
Maintaining silence in court,Court,Witnesses and defendants in court proceedings,Expected
Accepting marriage of individuals with large age gaps,Home,A middle-aged man marrying a young woman,Normal
Hospitality,Dinner banquet,Host entertaining guests,Expected
Observing silence at mourning ceremonies,Mourning ceremony,Crowd present at a religious mourning ceremony,Expected
Observing etiquette when interacting online,Cyberspace,Two users debating and conversing respectfully,Expected
Avoiding excessive waste of food,Restaurant,Customers avoiding throwing away leftover food,Normal
